Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G3069,01-jun-11,5947546.683,5524256.828,108.0408904,,-5.80,-35.00,11.40
G307,16-dic-11,5763502.517,5685004.776,17.96697378,954,-5.36,-29.45,13.41
G3070,01-jun-11,5944689.177,5545132.495,99,,-5.00,-29.00,11.00
G3071,01-jun-11,5924150.66,5518935.587,146.4331127,,-5.20,-31.62,9.98
G3072,01-jun-11,5904783.121,5526132.268,215.4888973,,-5.90,-34.00,13.20
G3073,01-jun-11,5903089.784,5539678.962,170.1517266,,-5.30,-31.00,11.40
G3074,01-jun-11,5899597.277,5497557.211,189.1986246,,-5.60,-31.00,13.80
G3075,01-jun-11,5877160.566,5502743.055,255.0605368,,-6.10,-37.00,11.80
G3076,01-jun-11,5913249.804,5494064.704,187.035492,,-5.80,-36.00,10.40
G3077,01-jun-11,5887638.087,5504436.392,256.8172827,,-5.50,-36.00,8.00
G3078,01-jun-11,5871445.554,5501684.72,263.1099615,,-5.60,-33.00,11.80
G3079,01-jun-11,5889860.591,5494593.872,214.2300821,,-5.60,-33.00,11.80
G308,16-dic-11,5762558.009,5685510.497,14.63204093,1354,-4.35,-26.54,8.27
G3080,01-jun-11,5920023.151,5507611.398,151.7970975,,-5.60,-34.00,10.80
G3081,01-jun-11,5898750.609,5487820.525,221.8431288,,-5.60,-35.00,9.80
G3082,01-jun-11,5959240.187,5548690.046,80.13341759,,-5.80,-33.00,13.40
G3083,01-jun-11,5932511.51,5511738.906,133.4135719,,-5.08,-29.46,11.18
G3084,01-jun-11,5931664.841,5528989.774,131.0175519,,-5.75,-33.10,12.90
G3086,01-jun-11,5971766.028,5575490.186,56.21788286,,-6.00,-36.00,12.00
G3087,01-jun-11,5981782.732,5552976.304,63.04139033,,-5.40,-28.00,15.20
G309,16-dic-11,5765689.016,5683755.349,20.62970761,1060,-4.33,-23.91,10.72
G3092,01-jun-11,6004140.069,5531888.97,57.33021078,,-5.24,-27.05,14.87
G3093,01-jun-11,6014948.981,5577418.341,36.18563183,,-4.16,-23.43,9.85
G3094,01-jun-11,6020611.076,5594940.407,31,,-5.37,-26.90,16.06
G3095,01-jun-11,6005791.329,5563766.584,41.36504801,,-4.98,-25.56,14.28
G3096,01-jun-11,6000312.004,5566271.002,47.09791189,,-4.95,-25.67,13.93
G3097,01-jun-11,6001242.327,5621997.341,23.33653787,,-3.77,-21.85,8.31
G3098,01-jun-11,6009987.361,5587389.331,35.56564543,,-4.62,-23.85,13.11
G3099,11-oct-17,5840578.616,5703765.63,27.28829222,3210,-4.58,-27.60,9.04
G310,16-dic-11,5765547.711,5685265.074,20.06932153,945,-5.44,-30.42,13.10
G3100,11-oct-17,5851622.546,5701441.737,26.6391851,3900,-4.73,-27.80,10.04
G3101,11-oct-17,5861663.447,5699982.812,22.56762359,3690,-4.89,-29.90,9.22
G3102,11-oct-17,5873813.395,5701525.791,19.89842275,5.87,-4.94,-30.60,8.92
G3103,11-oct-17,5856943.825,5698262.899,27.05509202,1871,-4.55,-27.80,8.60
G3104,11-oct-17,5858038.58,5697764.676,25.98830404,2855,-5.20,-31.50,10.10
G3106,12-oct-17,5883375.853,5695852.758,22.91520368,2410,-4.57,-26.50,10.06
G3107,12-oct-17,5887898.029,5694811.914,19.77978772,9530,-2.90,-19.90,3.30
G3108,12-oct-17,5894030.692,5693351.939,21.34831704,3920,-4.92,-28.70,10.66
G3109,12-oct-17,5894511.847,5707153.682,13.53873755,3820,-2.67,-17.30,4.06
